,area_name,date,year,month,labor_force,employment,unemployment,unemployment_rate
0,alameda county,2020-01-01,2020,january,841300,815500,25700,0.031
1,alpine county,2020-01-01,2020,january,650,620,30,0.046
2,amador county,2020-01-01,2020,january,14860,14160,700,0.047
3,butte county,2020-01-01,2020,january,97800,92400,5400,0.056
4,calaveras county,2020-01-01,2020,january,21560,20630,930,0.043
5,colusa county,2020-01-01,2020,january,10870,8790,2090,0.192
6,contra costa county,2020-01-01,2020,january,559600,541600,18000,0.032
7,del norte county,2020-01-01,2020,january,9640,9010,630,0.065
8,el dorado county,2020-01-01,2020,january,92200,88800,3500,0.037000000000000005
9,fresno county,2020-01-01,2020,january,452500,415800,36600,0.081
10,glenn county,2020-01-01,2020,january,13220,12260,970,0.073
11,humboldt county,2020-01-01,2020,january,61800,59300,2500,0.041
12,imperial county,2020-01-01,2020,january,72400,59400,13000,0.18
13,inyo county,2020-01-01,2020,january,8700,8360,340,0.039
14,kern county,2020-01-01,2020,january,396100,362200,33900,0.086
15,kings county,2020-01-01,2020,january,58100,52700,5500,0.094
16,lake county,2020-01-01,2020,january,29120,27370,1750,0.06
17,lassen county,2020-01-01,2020,january,9890,9330,560,0.056
18,los angeles county,2020-01-01,2020,january,5189200,4956900,232200,0.045
20,madera county,2020-01-01,2020,january,63400,58200,5100,0.081
21,marin county,2020-01-01,2020,january,139800,136500,3400,0.024
22,mariposa county,2020-01-01,2020,january,7040,6600,440,0.063
23,mendocino county,2020-01-01,2020,january,38310,36470,1850,0.048
24,merced county,2020-01-01,2020,january,115200,103900,11300,0.098
25,modoc county,2020-01-01,2020,january,3090,2790,300,0.097
26,mono county,2020-01-01,2020,january,9120,8800,320,0.035
27,monterey county,2020-01-01,2020,january,214100,193300,20800,0.097
28,napa county,2020-01-01,2020,january,72500,70000,2500,0.035
29,nevada county,2020-01-01,2020,january,49120,47320,1800,0.037000000000000005
30,orange county,2020-01-01,2020,january,1622100,1575500,46600,0.029
31,placer county,2020-01-01,2020,january,188400,182200,6200,0.033
32,plumas county,2020-01-01,2020,january,7490,6710,790,0.105
33,riverside county,2020-01-01,2020,january,1106100,1059300,46800,0.042
34,sacramento county,2020-01-01,2020,january,714200,686500,27700,0.039
35,san benito county,2020-01-01,2020,january,31500,29600,2000,0.062
36,san bernardino county,2020-01-01,2020,january,970000,932100,37900,0.039
37,san diego county,2020-01-01,2020,january,1592900,1540000,52900,0.033
38,san francisco county,2020-01-01,2020,january,586500,573000,13500,0.023
39,san joaquin county,2020-01-01,2020,january,325100,303300,21800,0.067
40,san luis obispo county,2020-01-01,2020,january,141200,136700,4400,0.031
41,san mateo county,2020-01-01,2020,january,462400,452600,9800,0.021
42,santa barbara county,2020-01-01,2020,january,214300,204300,10000,0.047
43,santa clara county,2020-01-01,2020,january,1055600,1028000,27700,0.026
44,santa cruz county,2020-01-01,2020,january,139600,131000,8600,0.061
45,shasta county,2020-01-01,2020,january,74600,70600,4000,0.054000000000000006
46,sierra county,2020-01-01,2020,january,1320,1230,80,0.062
47,siskiyou county,2020-01-01,2020,january,17060,15650,1420,0.083
48,solano county,2020-01-01,2020,january,209000,200500,8400,0.04
49,sonoma county,2020-01-01,2020,january,258200,250600,7600,0.029
50,stanislaus county,2020-01-01,2020,january,243300,227300,16100,0.066
51,sutter county,2020-01-01,2020,january,46500,42400,4100,0.087
52,tehama county,2020-01-01,2020,january,25710,24080,1630,0.063
53,trinity county,2020-01-01,2020,january,4430,4130,310,0.069
54,tulare county,2020-01-01,2020,january,204500,182000,22400,0.11
55,tuolumne county,2020-01-01,2020,january,21460,20410,1050,0.049
56,ventura county,2020-01-01,2020,january,423000,406600,16400,0.039
57,yolo county,2020-01-01,2020,january,109000,103600,5400,0.049
58,yuba county,2020-01-01,2020,january,30900,28800,2200,0.07
59,alameda county,2020-02-01,2020,february,840400,815400,25000,0.03
